hour,spring,summer,autumn,winter
0,180,234,171,216
1,170,221,162,204
2,165,214,157,198
3,160,208,152,192
4,170,221,162,204
5,200,260,190,240
6,280,364,266,336
7,350,455,332,420
8,420,546,399,504
9,380,494,361,456
10,350,455,332,420
11,320,416,304,384
12,300,390,285,360
13,320,416,304,384
14,350,455,332,420
15,400,520,380,480
16,480,624,456,576
17,520,777,494,624
18,550,822,522,660
19,480,718,456,576
20,380,494,361,456
21,300,390,285,360
22,250,325,238,300
23,210,273,200,252
