particles,max_iter,T0,alpha,w,w_end,c1,c2,fitness,load_coverage,avg_sensitivity,loss_cost,selected_nodes
80,250,0.05,0.98,0.85,0.3,1.6,1.8,0.4198510807272584,0.5518169582772544,0.2219022644022644,7.780977355977356,"[32, 2, 7, 19, 30, 25, 24, 3, 4, 8]"
100,200,0.05,0.97,0.85,0.3,1.6,1.8,0.4198510807272584,0.5518169582772544,0.2219022644022644,7.780977355977356,"[32, 3, 2, 24, 25, 30, 7, 8, 19, 4]"
100,250,0.08,0.97,0.85,0.3,1.6,1.8,0.4198510807272584,0.5518169582772544,0.2219022644022644,7.780977355977358,"[32, 2, 7, 25, 30, 19, 24, 3, 8, 4]"
80,200,0.05,0.97,0.85,0.3,1.6,1.8,0.41651774739392505,0.5518169582772544,0.21356893106893104,7.86431068931069,"[32, 2, 7, 25, 8, 24, 20, 19, 30, 4]"
80,250,0.05,0.97,0.85,0.3,1.6,1.8,0.41651774739392505,0.5518169582772544,0.21356893106893104,7.864310689310689,"[32, 2, 7, 23, 30, 25, 19, 8, 24, 4]"
100,200,0.08,0.98,0.85,0.3,1.6,1.8,0.41651774739392505,0.5518169582772544,0.2135689310689311,7.864310689310689,"[32, 2, 7, 24, 30, 20, 8, 25, 3, 4]"
100,250,0.05,0.97,0.85,0.3,1.6,1.8,0.41651774739392505,0.5518169582772544,0.21356893106893104,7.86431068931069,"[32, 2, 24, 25, 20, 7, 4, 19, 8, 30]"
100,250,0.05,0.98,0.85,0.3,1.6,1.8,0.41651774739392505,0.5518169582772544,0.21356893106893104,7.86431068931069,"[32, 2, 8, 25, 24, 20, 7, 19, 30, 4]"
100,200,0.08,0.97,0.85,0.3,1.6,1.8,0.41500585865458006,0.5437415881561238,0.2219022644022644,7.780977355977356,"[32, 2, 3, 25, 19, 8, 7, 23, 24, 30]"
80,200,0.08,0.97,0.85,0.3,1.6,1.8,0.4142201123237462,0.5598923283983849,0.19571178821178822,8.042882117882119,"[32, 2, 14, 24, 19, 30, 7, 8, 25, 4]"
80,200,0.08,0.98,0.85,0.3,1.6,1.8,0.4142201123237462,0.5598923283983849,0.1957117882117882,8.042882117882119,"[32, 2, 8, 25, 30, 24, 7, 14, 19, 4]"
80,250,0.08,0.97,0.85,0.3,1.6,1.8,0.4142201123237462,0.5598923283983849,0.1957117882117882,8.042882117882119,"[32, 2, 14, 24, 19, 30, 25, 7, 4, 8]"
80,250,0.08,0.98,0.85,0.3,1.6,1.8,0.4142201123237462,0.5598923283983849,0.1957117882117882,8.042882117882119,"[32, 2, 14, 25, 24, 30, 7, 19, 8, 4]"
100,200,0.05,0.98,0.85,0.3,1.6,1.8,0.4131844140605917,0.5518169582772544,0.20523559773559774,7.947644022644025,"[32, 4, 8, 25, 24, 22, 7, 19, 30, 2]"
100,250,0.08,0.98,0.85,0.3,1.6,1.8,0.4116725253212467,0.5437415881561238,0.21356893106893104,7.86431068931069,"[32, 2, 20, 23, 25, 30, 7, 8, 19, 24]"
80,200,0.05,0.98,0.85,0.3,1.6,1.8,0.4061393469697642,0.5383580080753702,0.20781135531135533,7.921886446886447,"[32, 2, 8, 25, 31, 24, 19, 7, 4, 21]"
