支路编号,起始节点,终止节点,电阻R(标幺),电抗X(标幺)
1,1,2,0.0575,0.0293
2,2,3,0.0308,0.0264
3,3,4,0.0308,0.0264
4,4,5,0.0308,0.0264
5,5,6,0.0396,0.0408
6,6,7,0.0396,0.0408
7,7,8,0.0266,0.0216
8,8,9,0.0266,0.0216
9,9,10,0.0266,0.0216
10,10,11,0.0266,0.0216
11,11,12,0.0386,0.0395
12,12,13,0.0386,0.0395
13,13,14,0.0888,0.0708
14,14,15,0.0888,0.0708
15,15,16,0.0888,0.0708
16,16,17,0.0444,0.0354
17,17,18,0.0444,0.0354
18,2,19,0.0541,0.0275
19,19,20,0.0541,0.0275
20,20,21,0.0541,0.0275
21,21,22,0.0541,0.0275
22,3,23,0.0762,0.0389
23,23,24,0.0762,0.0389
24,24,25,0.0762,0.0389
25,6,26,0.1650,0.1569
26,26,27,0.1650,0.1569
27,27,28,0.1650,0.1569
28,28,29,0.1650,0.1569
29,29,30,0.0835,0.0789
30,30,31,0.0835,0.0789
31,31,32,0.0835,0.0789
32,32,33,0.0835,0.0789
