节点编号,类型,有功负荷P(kW),无功负荷Q(kVar),电压标幺值,相角(度)
1,平衡节点,0,0,1.0000,0.0
2,负荷节点,100,60,0.9970,-0.1
3,负荷节点,90,40,0.9829,-0.3
4,负荷节点,120,80,0.9754,-0.5
5,负荷节点,60,30,0.9681,-0.7
6,负荷节点,60,20,0.9496,-1.2
7,负荷节点,200,100,0.9462,-1.3
8,负荷节点,200,100,0.9413,-1.5
9,负荷节点,60,20,0.9351,-1.8
10,负荷节点,60,20,0.9292,-2.1
11,负荷节点,45,30,0.9284,-2.2
12,负荷节点,60,35,0.9269,-2.3
13,负荷节点,60,35,0.9208,-2.5
14,负荷节点,120,80,0.9185,-2.7
15,负荷节点,60,10,0.9171,-2.8
16,负荷节点,60,20,0.9154,-2.9
17,负荷节点,60,20,0.9137,-3.0
18,负荷节点,90,40,0.9131,-3.1
19,负荷节点,90,40,0.9965,-0.2
20,负荷节点,90,40,0.9929,-0.4
21,负荷节点,90,40,0.9922,-0.4
22,负荷节点,90,40,0.9916,-0.5
23,负荷节点,90,50,0.9793,-0.6
24,负荷节点,420,200,0.9727,-0.8
25,负荷节点,420,200,0.9694,-1.0
26,负荷节点,60,25,0.9479,-1.5
27,负荷节点,60,25,0.9452,-1.6
28,负荷节点,60,20,0.9337,-1.9
29,负荷节点,120,70,0.9255,-2.2
30,负荷节点,200,600,0.9220,-2.4
31,负荷节点,150,70,0.9178,-2.6
32,负荷节点,210,100,0.9159,-2.8
33,负荷节点,60,40,0.9136,-3.0
