experiment_id,alpha,gamma,epsilon,epsilon_decay,epsilon_min,episodes,avg_reward,last_100_avg_reward,max_reward,peakShaving,valleyPeakDiff,pvReductionPct,chargingCost,v2gProfit,netProfit,runtime
1,0.1,0.9,1.0,0.985,0.1,500,695.1336,838.992,978.6,966.0,390.0,0.0,3.5,109.6,106.1,0.0755
2,0.1,0.9,1.0,0.99,0.1,500,689.0352,855.792,978.6,966.0,390.0,0.0,0.0,109.6,109.6,0.0751
3,0.1,0.9,1.0,0.995,0.1,500,531.9048,871.626,978.6,966.0,390.0,0.0,0.0,112.4,112.4,0.0762
4,0.1,0.95,1.0,0.985,0.1,500,593.2164,812.994,978.6,966.0,390.0,0.0,0.0,101.6,101.6,0.085
5,0.1,0.95,1.0,0.99,0.1,500,527.5536,848.106,957.6,966.0,390.0,0.0,0.0,64.4,64.4,0.0822
6,0.1,0.95,1.0,0.995,0.1,500,431.424,742.014,978.6,966.0,390.0,0.0,0.0,109.6,109.6,0.0912
7,0.1,0.99,1.0,0.985,0.1,500,402.192,451.164,751.8,966.0,390.0,0.0,0.0,64.4,64.4,0.0813
8,0.1,0.99,1.0,0.99,0.1,500,394.7076,411.096,743.4,966.0,390.0,0.0,0.0,64.4,64.4,0.0844
9,0.1,0.99,1.0,0.995,0.1,500,318.8472,429.408,739.2,966.0,390.0,0.0,0.0,64.4,64.4,0.0911
10,0.15,0.9,1.0,0.985,0.1,500,715.3692,854.07,978.6,966.0,390.0,0.0,0.0,109.6,109.6,0.0775
11,0.15,0.9,1.0,0.99,0.1,500,690.7152,868.392,978.6,966.0,390.0,0.0,0.0,112.4,112.4,0.078
12,0.15,0.9,1.0,0.995,0.1,500,560.9604,868.938,978.6,966.0,390.0,0.0,0.0,112.4,112.4,0.077
13,0.15,0.95,1.0,0.985,0.1,500,626.5728,697.746,978.6,966.0,390.0,0.0,0.0,112.4,112.4,0.0739
14,0.15,0.95,1.0,0.99,0.1,500,551.5944,686.028,978.6,966.0,390.0,0.0,0.0,112.4,112.4,0.0778
15,0.15,0.95,1.0,0.995,0.1,500,376.698,464.184,911.4,966.0,390.0,0.0,0.0,64.4,64.4,0.0808
16,0.15,0.99,1.0,0.985,0.1,500,416.6652,427.098,957.6,966.0,390.0,0.0,0.0,64.4,64.4,0.0792
17,0.15,0.99,1.0,0.99,0.1,500,371.5572,432.642,726.6,966.0,390.0,0.0,0.0,64.4,64.4,0.0783
18,0.15,0.99,1.0,0.995,0.1,500,309.2796,429.492,743.4,966.0,390.0,0.0,7.0,64.4,57.4,0.0754
19,0.2,0.9,1.0,0.985,0.1,500,737.2932,825.72,978.6,966.0,390.0,0.0,0.0,101.6,101.6,0.077
20,0.2,0.9,1.0,0.99,0.1,500,680.6352,865.914,978.6,966.0,390.0,0.0,0.0,112.4,112.4,0.0754
21,0.2,0.9,1.0,0.995,0.1,500,531.6948,857.346,978.6,966.0,390.0,0.0,0.0,112.4,112.4,0.0751
22,0.2,0.95,1.0,0.985,0.1,500,588.6636,750.078,978.6,966.0,390.0,0.0,0.0,79.6,79.6,0.0757
23,0.2,0.95,1.0,0.99,0.1,500,565.5552,759.948,978.6,966.0,390.0,0.0,0.0,109.6,109.6,0.0751
24,0.2,0.95,1.0,0.995,0.1,500,415.4136,717.528,966.0,966.0,390.0,0.0,0.0,107.6,107.6,0.0798
25,0.2,0.99,1.0,0.985,0.1,500,386.1396,418.572,928.2,966.0,174.0,55.4,18.5,49.6,31.1,0.0757
26,0.2,0.99,1.0,0.99,0.1,500,361.8216,410.55,781.2,966.0,390.0,0.0,0.0,64.4,64.4,0.0755
27,0.2,0.99,1.0,0.995,0.1,500,292.3116,391.776,764.4,884.0,472.0,-21.0,60.0,64.4,4.4,0.0768
28,0.25,0.9,1.0,0.985,0.1,500,712.4292,818.244,978.6,966.0,390.0,0.0,0.0,109.6,109.6,0.0792
29,0.25,0.9,1.0,0.99,0.1,500,646.1616,853.776,978.6,966.0,390.0,0.0,0.0,112.4,112.4,0.0758
30,0.25,0.9,1.0,0.995,0.1,500,523.7316,844.956,978.6,966.0,390.0,0.0,0.0,112.4,112.4,0.0786
31,0.25,0.95,1.0,0.985,0.1,500,468.3504,625.884,978.6,966.0,390.0,0.0,0.0,109.6,109.6,0.0731
32,0.25,0.95,1.0,0.99,0.1,500,484.7136,611.898,957.6,966.0,390.0,0.0,0.0,76.8,76.8,0.0732
33,0.25,0.95,1.0,0.995,0.1,500,371.2632,520.002,957.6,966.0,390.0,0.0,0.0,79.6,79.6,0.0773
34,0.25,0.99,1.0,0.985,0.1,500,356.0508,419.328,852.6,966.0,390.0,0.0,0.0,64.4,64.4,0.0726
35,0.25,0.99,1.0,0.99,0.1,500,364.0308,401.142,777.0,966.0,390.0,0.0,0.0,64.4,64.4,0.075
36,0.25,0.99,1.0,0.995,0.1,500,279.342,423.318,760.2,884.0,472.0,-21.0,60.0,64.4,4.4,0.0805
